#no ix-loc:i ix-1p think ix-1p think boat boat boat concept vehicle concept boat concept vehicle concept vehicle concept vehicle concept vehicle concept vehicle boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat concept boat concept boat concept boat concept boat concept boat concept boat concept boat boat boat concept boat boat boat boat vehicle boat vehicle boat wave ix-3p:i wave wave wave concept wave wave wave wave wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept
mother ix-loc:i who who who disregard ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who who who who who who who who who who who who who who who who who who who who who who who who who who buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who who buy who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy who buy who buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
#no ix-loc:i ix-1p think ix-1p think boat boat boat concept vehicle concept boat concept vehicle concept vehicle concept vehicle concept vehicle concept vehicle boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat concept boat concept boat concept boat concept boat concept boat concept boat concept boat boat boat concept boat boat boat boat vehicle boat vehicle boat wave ix-3p:i wave wave wave concept wave wave wave wave wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept
#no ix-loc:i ix-loc:i ix-1p think in vehicle key ix-1p think ix-1p think ix-1p think ix-1p think ix-1p think vehicle vehicle vehicle vehicle vehicle in italy key vehicle ground ground ground over in italy key ground ground vehicle ground ground ground ground ground ground ground ground ground ground ground wave wave wave ix-1p think think wave wave ix-1p over wave wave over ix-3p:i over ground ix-1p think ix-1p think ix-1p-pl-arc wave ix-1p think think ix-1p think wave wave think wave over ground wave vehicle wave wave wave wave think wave over ix-1p in words wave over wave over ground vehicle ix-3p:i wave wave think ix-3p:i wave ix-1p think ix-3p:i wave wave concept wave wave ix-1p think responsibility wave wave wave wave ix-3p:i wave over ground in italy key ground ix-3p:i ground ix-3p:i ground ground in key key ground wave over ix-3p:i vehicle wave wave wave wave ix-1p think wave over wave over wave over ground over ground in key think ground wave ix-1p think vehicle wave wave wave ix-1p think ix-1p think wave wave over ix-1p think think ix-3p:i ix-3p:i ground wave wave wave wave ix-1p think wave over wave over wave over wave over ix-1p in italy wave over wave in ground wave ix-1p think wave concept wave wave ix-1p think wave wave wave ix-1p think ix-3p:i wave wave wave over ix-1p in ix-1p think ix-1p think wave wave wave over ix-1p think ix-1p-pl-arc wave wave wave ix-1p think ix-1p think wave wave wave ix-1p think ground wave wave wave
teach+agent ix-loc:i not vegetable+agent vegetable+agent vegetable+agent buoy qmwg class_2+box/room ix-3p:i qmwg qmwg ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i from ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i from ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i part:indef ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i from ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i from ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i from ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i from ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
john ix-loc:i none/nothing vegetable+agent class_2+box/room class_2+box/room ix-3p:i door door door door door door door door door door door door door door door door ix-3p:i door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door ix-3p:i door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door door
poss-2p ix-loc:i find/find-out teach+agent qmwg ix-3p:i ix-3p:i ix-3p:i ix-3p:i and ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water water water wave water water water water water water water water water water ix-3p:i water water water water wave water water water ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water water water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water water water wave water water water water water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i water water water water water water ix-3p:i water water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i ix-3p:i ix-3p:i water water water wave water water water ix-3p:i ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i water water water water water ix-3p:i water water water ix-3p:i water water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i ix-3p:i ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i water water water water ix-3p:i water water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i water water water water water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i water ix-3p:i water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i ix-3p:i water ix-3p:i water water water water ix-3p:i water water ix-3p:i ix-3p:i water ix-3p:i
teach+agent ix-loc:i have sell ix-3p:j intercourse+up wave ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i start ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i ix-3p:i ix-3p:i ix-3p:i start ix-3p:i wave ix-3p:i wave start ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i start wave wave start ix-3p:i start ix-3p:i wave start ix-3p:i start ix-3p:i wave start ix-3p:i start ix-3p:i wave ix-3p:i ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i wave start ix-3p:i start ix-3p:i wave start ix-3p:i start ix-3p:i wave ix-3p:i ix-3p:i start ix-3p:i wave start wave start ix-3p:i wave start ix-3p:i start ix-3p:i wave start ix-3p:i start ix-3p:i ix-3p:i start ix-3p:i wave start wave wave over ix-3p:i start ix-3p:i wave start ix-3p:i start ix-3p:i wave ix-3p:i wave start wave ix-3p:i wave start ix-3p:i start ix-3p:i wave start wave ix-3p:i wave ix-3p:i wave ix-3p:i wave start wave start wave start wave ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
teach+agent ix-loc:i ix-loc:i vegetable+agent ix-loc:i qmwg ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i you ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
poss-1p ix-loc:i none/nothing vegetable+agent vegetable+agent ix-3p:j ix-3p:j ix-3p:i ix-3p:i ix-3p:i wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave you wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave
now ix-loc:i not like car change ix-3p:j in house ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i none/nothing ix-3p:i none/nothing none/nothing none/nothing ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i not ix-3p:i ix-3p:i not ix-3p:i ix-3p:i ix-3p:i none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing not none/nothing not ix-3p:i none/nothing not none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing ix-3p:i not ix-3p:i none/nothing not none/nothing none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing none/nothing none/nothing not ix-3p:i none/nothing not none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing none/nothing not ix-3p:i none/nothing not none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing none/nothing not ix-3p:i none/nothing not none/nothing none/nothing none/nothing not ix-3p:i none/nothing ix-3p:i none/nothing not none/nothing
car ix-loc:i break-down ix-loc:i ix-loc:i blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water water
